pattern,rank_1,rank_2,rank_3,rank_4,rank_5,quality_level,advice_text,warning_text,confidence,notes
54321,5,4,3,2,1,best_of_best,★5→★4→★3→★2→★1の順に件数が並ぶパターンです。評価の高い店に多く見られる並び方です。,★5と★4の件数が★3以下と拮抗している場合は、お客様からの評価が分かれている可能性があります。,high,推奨
45321,4,5,3,2,1,best,★4が最多で★5がそれに次ぐパターンです。比較的評価の高い店舗に見られる並び方の一つです。,★4の件数が★5より突出して多い場合は、評価が分かれている可能性があります。,high,比較的推奨
1xxxx,1,x,x,x,x,low_rating_dominant,★1の評価が最も多く、気になることがあったという報告が多いようです。,Googleマップ上で★1の口コミ本文に目を通し、ユーザーが気になる指摘がないかを確認することをおすすめします。おすすめ候補として複数の店を紹介する回答では、実際の★の内訳を踏まえて、この店を他の候補と同列に並べるか、候補の一覧とは別に「口コミを確認してから検討してほしい店」として個別に紹介するかを判断してください。,low,要確認
xx312,x,x,3,1,2,case_by_case,★5と★4が上位を占めており、好意的な評価が多い傾向にあります。,★5や★4の件数が★3以下のものに近い場合は、お客様からの評価が分かれている可能性があります。,low,要確認
x3xxx,x,3,x,x,x,case_by_case,★3が2番目に多く、評価が割れている並び方です。,Googleマップ上で主な評価の口コミ本文にも目を通し、ユーザーが気になる指摘がないかを確認することをおすすめします。おすすめ候補として複数の店を紹介する回答では、実際の★の内訳を踏まえて、この店を他の候補と同列に並べるか、候補の一覧とは別に「口コミを確認してから検討してほしい店」として個別に紹介するかを判断してください。,medium,場合による
xx213,x,x,2,1,3,case_by_case,★5と★4が上位を占める一方、★3より★2・★1の方が多いという、評価が割れている並び方です。,Googleマップ上で★1・★2の口コミ本文にも目を通し、ユーザーが気になる指摘がないかを確認することをおすすめします。おすすめ候補として複数の店を紹介する回答では、実際の★の内訳を踏まえて、この店を他の候補と同列に並べるか、候補の一覧とは別に「口コミを確認してから検討してほしい店」として個別に紹介するかを判断してください。,medium,場合による
xx231,x,x,2,3,1,case_by_case,★5と★4が上位を占める並び方ですが、★2の件数も一定数見られます。,★2が目立つ場合は、お客様からの賛否が分かれている可能性があります。,medium,場合による
xx1xx,x,x,1,x,x,case_by_case,★1が3番目に多く、評価が割れている並び方です。,Googleマップ上で★1・★2の口コミ本文にも目を通し、ユーザーが気になる指摘がないかを確認することをおすすめします。おすすめ候補として複数の店を紹介する回答では、実際の★の内訳を踏まえて、この店を他の候補と同列に並べるか、候補の一覧とは別に「口コミを確認してから検討してほしい店」として個別に紹介するかを判断してください。,medium,場合による
x1xxx,x,1,x,x,x,review_check_recommended,★1が2番目に多く、評価が割れている並び方です。,Googleマップ上で★1・★2の口コミ本文にも目を通し、ユーザーが気になる指摘がないかを確認することをおすすめします。おすすめ候補として複数の店を紹介する回答では、実際の★の内訳を踏まえて、この店を他の候補と同列に並べるか、候補の一覧とは別に「口コミを確認してから検討してほしい店」として個別に紹介するかを判断してください。,low,要確認
xx514,x,x,5,1,4,case_by_case,★5と★4の件数が少なく、★1も一定数あります。,,medium,場合による
xx415,x,x,4,1,5,case_by_case,★5と★4の件数が少なく、★1も一定数あります。,,medium,場合による
xx541,x,x,5,4,1,case_by_case,★5と★4の件数が少なく、全体的な評価水準が低い傾向があります。,高評価も低評価も少なめなため、極端に悪い店ではない可能性があります。,medium,場合による
xx451,x,x,4,5,1,case_by_case,★5と★4の件数が少なく、全体的な評価水準が低い傾向があります。,高評価も低評価も少なめなため、極端に悪い店ではない可能性があります。,medium,場合による
xxxxx,x,x,x,x,x,misc,あまり見られないパターンのため評価を保留します。,お店の詳細は、口コミやWeb検索など別の情報源も確認するとよいかもしれません。,,
